"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P26892","8P14988","8P26876","22_3",2,2,0,6,0,0,1,2022,"8P26892_2022","8P14988_2022","8P26876_2022"
"8P26803","8P26876","8P26892","23_2",2,2,0,7,0,0,1,2022,"8P26803_2022","8P26876_2022","8P26892_2022"
"8P26876","8P26892","8P26803","23_2",2,1,0,7,0,0,1,2022,"8P26876_2022","8P26892_2022","8P26803_2022"
"8P26892","8P26803","8P26876","23_2",2,1,0,7,0,0,1,2022,"8P26892_2022","8P26803_2022","8P26876_2022"
"8P14988","8P26894","8P26808","23_3",2,1,0,7,0,0,1,2022,"8P14988_2022","8P26894_2022","8P26808_2022"
"8P26876","8P26803","8P26808","24_1",2,2,0,8,0,0,1,2022,"8P26876_2022","8P26803_2022","8P26808_2022"
"8P14988","8P26894","8P26803","25_1",2,0,2,8,0,0,1,2022,"8P14988_2022","8P26894_2022","8P26803_2022"
"8P26803","8P14988","8P26894","25_1",2,3,1,9,0,0,1,2022,"8P26803_2022","8P14988_2022","8P26894_2022"
"8P26894","8P26803","8P14988","25_1",2,2,0,8,0,0,1,2022,"8P26894_2022","8P26803_2022","8P14988_2022"
"8P26808","8P26876","8P26892","25_3",2,0,2,9,0,0,1,2022,"8P26808_2022","8P26876_2022","8P26892_2022"
"8P26876","8P26892","8P26808","25_3",2,2,0,9,0,0,1,2022,"8P26876_2022","8P26892_2022","8P26808_2022"
"8P26892","8P26808","8P26876","25_3",2,2,1,8,0,0,1,2022,"8P26892_2022","8P26808_2022","8P26876_2022"
"8P14988","8P26894","8P26892","26_2",2,0,1,9,0,0,1,2022,"8P14988_2022","8P26894_2022","8P26892_2022"
"8P26892","8P14988","8P26894","26_2",2,1,1,9,0,0,1,2022,"8P26892_2022","8P14988_2022","8P26894_2022"
"8P26894","8P26892","8P14988","26_2",2,2,1,9,0,0,1,2022,"8P26894_2022","8P26892_2022","8P14988_2022"
"8P14988","8P26808","8P26876","27_1",2,1,1,10,0,0,1,2022,"8P14988_2022","8P26808_2022","8P26876_2022"
"8P26808","8P26876","8P14988","27_1",2,3,1,10,0,0,1,2022,"8P26808_2022","8P26876_2022","8P14988_2022"
"8P26876","8P14988","8P26808","27_1",2,2,0,10,0,0,1,2022,"8P26876_2022","8P14988_2022","8P26808_2022"
"8P26803","8P26892","8P26894","27_2",2,1,1,10,0,0,1,2022,"8P26803_2022","8P26892_2022","8P26894_2022"
"8P26892","8P26894","8P26803","27_2",2,3,0,10,0,0,1,2022,"8P26892_2022","8P26894_2022","8P26803_2022"
"8P26894","8P26803","8P26892","27_2",2,2,0,10,0,0,1,2022,"8P26894_2022","8P26803_2022","8P26892_2022"
"8P14988","8P26894","8P26892","29_1",2,2,1,1,1,0,1,2022,"8P14988_2022","8P26894_2022","8P26892_2022"
"8P26892","8P14988","8P26894","29_1",2,1,1,1,1,0,1,2022,"8P26892_2022","8P14988_2022","8P26894_2022"
"8P26894","8P26892","8P14988","29_1",2,3,0,1,1,0,1,2022,"8P26894_2022","8P26892_2022","8P14988_2022"
"8P26803","8P26808","8P26894","30_1",2,1,1,1,1,0,1,2022,"8P26803_2022","8P26808_2022","8P26894_2022"
"8P26808","8P26894","8P26803","30_1",2,1,1,1,1,0,1,2022,"8P26808_2022","8P26894_2022","8P26803_2022"
"8P26894","8P26803","8P26808","30_1",2,1,0,2,1,0,1,2022,"8P26894_2022","8P26803_2022","8P26808_2022"
"8P26876","8P26892","8P14988","30_3",2,4,0,1,1,0,1,2022,"8P26876_2022","8P26892_2022","8P14988_2022"
"8P26803","8P26808","8P26876","31_2",2,2,0,2,1,0,1,2022,"8P26803_2022","8P26808_2022","8P26876_2022"
"8P26808","8P26876","8P26803","31_2",2,1,0,2,1,0,1,2022,"8P26808_2022","8P26876_2022","8P26803_2022"
"8P26876","8P26803","8P26808","31_2",2,3,1,2,1,0,1,2022,"8P26876_2022","8P26803_2022","8P26808_2022"
"8P14988","8P26803","8P26876","32_1",2,0,2,3,1,0,1,2022,"8P14988_2022","8P26803_2022","8P26876_2022"
"8P26803","8P26876","8P14988","32_1",2,3,0,3,1,0,1,2022,"8P26803_2022","8P26876_2022","8P14988_2022"
"8P26876","8P14988","8P26803","32_1",2,2,0,3,1,0,1,2022,"8P26876_2022","8P14988_2022","8P26803_2022"
"8P26808","8P26892","8P26894","32_2",2,2,0,3,1,0,1,2022,"8P26808_2022","8P26892_2022","8P26894_2022"
"8P26894","8P26808","8P26892","32_2",2,0,1,3,1,0,1,2022,"8P26894_2022","8P26808_2022","8P26892_2022"
"8P14988","8P26803","8P26808","33_3",2,1,2,4,1,0,1,2022,"8P14988_2022","8P26803_2022","8P26808_2022"
"8P26803","8P26808","8P14988","33_3",2,1,0,4,1,0,1,2022,"8P26803_2022","8P26808_2022","8P14988_2022"
"8P26808","8P14988","8P26803","33_3",2,1,0,4,1,0,1,2022,"8P26808_2022","8P14988_2022","8P26803_2022"
